Date (days since 1/1/2021),Primary Type,Primary Type Code,Location Description,Location Description Code,Arrest,Latitude,Longitude
6.441776969167389,BURGLARY,3,RESIDENCE,99,0,41.781487019,-87.716466689
7.492474571908434,DECEPTIVE PRACTICE,8,APARTMENT,17,0,41.728947414,-87.630475071
3.541240068491447,NARCOTICS,17,RESIDENCE - PORCH / HALLWAY,101,1,41.876192292,-87.724259141
1.6052324486067777,MOTOR VEHICLE THEFT,16,STREET,112,0,41.884801266,-87.754011677
7.42159417805724,DECEPTIVE PRACTICE,8,RESIDENCE,99,0,41.76349559,-87.675923385
5.9344957191747705,BATTERY,2,VEHICLE NON-COMMERCIAL,122,0,41.677145445,-87.635870887
2.91860445209537,CRIMINAL SEXUAL ASSAULT,6,CHA APARTMENT,33,0,41.877470199,-87.678222877
8.716898630126405,CRIMINAL DAMAGE,5,STREET,112,0,41.725067898,-87.643309409
5.461959760277537,THEFT,29,NURSING / RETIREMENT HOME,88,0,41.783522021,-87.593125671
0.1250830479433853,BATTERY,2,OTHER (SPECIFY),89,0,41.885731591,-87.633313023
1.8762457191507793,CRIMINAL DAMAGE,5,STREET,112,0,41.736206319,-87.722696448
8.052568664415865,WEAPONS VIOLATION,30,VEHICLE NON-COMMERCIAL,122,0,41.751664277,-87.571411663
6.3688118578670805,ROBBERY,26,STREET,112,0,41.81590861,-87.600614272
4.669767123302764,CRIMINAL DAMAGE,5,STREET,112,0,41.761847539,-87.599961434
2.1278016266979747,CRIMINAL DAMAGE,5,STREET,112,0,41.815630302,-87.621380589
3.4606309931833725,BATTERY,2,APARTMENT,17,0,41.905833996,-87.638427474
4.738562799621798,OTHER OFFENSE,22,RESIDENCE,99,0,41.761679814,-87.604222451
7.074141267103392,BATTERY,2,RESIDENCE,99,0,41.902894779,-87.755787704
5.003321917818458,DECEPTIVE PRACTICE,8,RESIDENCE,99,0,41.897530503,-87.758117032
4.912289255098722,BATTERY,2,STREET,112,0,41.793332108,-87.794052491
7.518880993124317,ASSAULT,1,RESIDENCE,99,0,41.896949739,-87.70040377
6.024833476022771,BATTERY,2,STREET,112,0,41.766279515,-87.62979283
1.8880591181398194,BATTERY,2,RESIDENCE,99,1,41.799777717,-87.709858499
3.693424443522451,THEFT,29,STREET,112,0,41.887758017,-87.664356811
4.534260488030763,NARCOTICS,17,SIDEWALK,109,1,41.894545524,-87.711405869
6.101273116432617,CRIMINAL DAMAGE,5,STREET,112,0,41.751111854,-87.655369694
0.04308416097488646,CRIMINAL DAMAGE,5,BAR OR TAVERN,24,0,41.947250041,-87.653596936
8.482020462338212,ROBBERY,26,STREET,112,0,41.709658554,-87.650201999
2.793521404068938,CRIMINAL DAMAGE,5,STREET,112,0,41.916013405,-87.673497021
4.607225599331072,OTHER OFFENSE,22,RESIDENCE,99,0,41.799153337,-87.761267819
7.004650684912622,THEFT,29,APARTMENT,17,0,41.783688699,-87.594718715
2.84702915237244,ASSAULT,1,CLEANING STORE,39,0,41.990041822,-87.65895741
6.841347816764314,WEAPONS VIOLATION,30,STREET,112,1,41.923068802,-87.716949445
6.337541095881234,THEFT,29,RESIDENCE,99,0,41.928271156,-87.663422892
4.336212328787069,DECEPTIVE PRACTICE,8,RESIDENCE,99,0,41.678868224,-87.637118862
7.825334460635439,OTHER OFFENSE,22,STREET,112,1,41.736793013,-87.594541841
1.0041389126566207,ROBBERY,26,VEHICLE NON-COMMERCIAL,122,0,41.745496116,-87.5917011
3.4814781678406037,OFFENSE INVOLVING CHILDREN,20,RESIDENCE,99,0,41.851425328,-87.695435176
2.897757277438139,THEFT,29,RESTAURANT,103,0,41.742601284,-87.663242082
7.508457405795702,ROBBERY,26,VEHICLE NON-COMMERCIAL,122,0,41.873406142,-87.728794456
5.9178179794157675,CRIMINAL DAMAGE,5,RESIDENCE,99,0,41.928035516,-87.777073542
8.672424657574139,OTHER OFFENSE,22,APARTMENT,17,0,41.757081957,-87.641764442
7.2374441352517005,BATTERY,2,APARTMENT,17,0,41.812144723,-87.618231521
3.001993150724293,CRIMINAL DAMAGE,5,POLICE FACILITY / VEHICLE PARKING LOT,96,0,41.778877155,-87.708840106
4.845578296228801,NARCOTICS,17,STREET,112,1,41.657256519,-87.603930387
1.7893824914123173,MOTOR VEHICLE THEFT,16,STREET,112,0,41.992618453,-87.6688108
4.527311429811686,WEAPONS VIOLATION,30,STREET,112,1,41.786196343,-87.66074228
4.732308647274456,DECEPTIVE PRACTICE,8,APARTMENT,17,0,41.85432513,-87.730846192
2.2452407106335937,BATTERY,2,RESIDENCE,99,0,41.684097983,-87.656717973
4.113842465776607,OTHER OFFENSE,22,RESIDENCE,99,0,41.787320711,-87.672904272
4.629462585648727,THEFT,29,DEPARTMENT STORE,58,0,41.86821682,-87.6304532
0.7921926369747735,BATTERY,2,RESIDENCE,99,0,41.685315132,-87.686026111
1.563538099292316,ASSAULT,1,APARTMENT,17,0,41.751268534,-87.606048047
8.868388099285673,BATTERY,2,ALLEY,15,0,41.86506997,-87.726358198
7.796843321887396,BATTERY,2,SIDEWALK,109,0,41.750030916,-87.683445092
2.793521404068938,BATTERY,2,RESIDENCE,99,0,41.675152652,-87.635804553
0.08338869862892352,BATTERY,2,RESIDENCE,99,0,41.851591743,-87.721482796
