Date (days since 1/1/2021),Primary Type,Primary Type Code,Location Description,Location Description Code,Arrest,Latitude,Longitude
6.422319606170582,NARCOTICS,17,SIDEWALK,109,1,41.877577592,-87.72312237
5.715600385273846,THEFT,29,PARKING LOT / GARAGE (NON RESIDENTIAL),94,0,41.742656445,-87.632018466
8.568188784287985,CRIMINAL DAMAGE,5,PARK PROPERTY,92,0,41.776248518,-87.605835547
1.8943132705702073,CRIMINAL TRESPASS,7,COMMERCIAL / BUSINESS OFFICE,44,1,41.772998982,-87.576478539
4.55093822770672,NARCOTICS,17,STREET,112,1,41.865923017,-87.695889498
3.159041866442214,BATTERY,2,APARTMENT,17,0,41.917317112,-87.713929467
2.352951113029287,CRIMINAL DAMAGE,5,GAS STATION,69,0,41.882407184,-87.686468002
5.332012371564189,CRIMINAL DAMAGE,5,RESIDENCE - GARAGE,100,0,41.675480147,-87.63099853
4.530785958921225,BATTERY,2,APARTMENT,17,0,41.787663354,-87.649847524
0.0,CRIMINAL DAMAGE,5,DRIVEWAY - RESIDENTIAL,60,0,41.713307488,-87.645431312
2.906096147234594,NARCOTICS,17,STREET,112,1,41.692768719,-87.610083244
8.4743764982474,NARCOTICS,17,STREET,112,1,41.900855116,-87.725350876
7.755148972572934,DECEPTIVE PRACTICE,8,APARTMENT,17,0,41.913350397,-87.689741474
4.461295376730455,OFFENSE INVOLVING CHILDREN,20,APARTMENT,17,0,41.917562472,-87.748689104
6.754484589025852,CRIMINAL DAMAGE,5,STREET,112,0,41.913251611,-87.687299262
