Suspensions_Per_100_Students_Year_1_Pct,Student_Attendance_Year_1_Pct,One_Year_Dropout_Rate_Year_1_Pct,Freshmen_On_Track_CPS_Pct_Year_1,Graduation_4_Year_CPS_Pct_Year_1,College_Enrollment_CPS_Pct_Year_1,Chronic_Truancy_Pct,Latitude,Longitude
6.3,91.5,,,,,10.7,41.765335,-87.641335
0.2,95.0,,,,,4.2,41.92985,-87.646413
2.0,94.6,,,,,6.2,41.917617,-87.716892
13.4,95.5,,,,,5.2,41.743669,-87.609979
4.7,92.7,,,,,6.9,41.77078,-87.634086
16.5,91.0,,,,,10.2,41.831121,-87.612275
0.7,95.6,,,,,4.4,41.975817,-87.657912
1.2,93.3,2.5,88.5,79.7,67.2,7.0,41.691221,-87.71777
6.1,93.6,,,,,17.4,41.764196,-87.600177
0.3,94.5,,,,,7.9,41.704859,-87.527985
3.6,55.6,32.7,,79.7,67.2,,41.783027,-87.683635
4.7,90.1,0.4,88.5,79.7,67.2,19.0,41.952488,-87.721364
17.0,89.3,3.8,88.5,79.7,67.2,25.2,41.964828,-87.714819
,95.8,,,,,4.9,41.874687,-87.686568
14.1,97.3,,,,,3.4,41.87276,-87.763337
1.3,94.9,,,,,4.5,41.948764,-87.757116
,96.0,,,,,0.8,41.859504,-87.667949
,87.7,2.9,88.5,79.7,67.2,26.9,41.845967,-87.68724
6.1,86.3,3.0,88.5,79.7,67.2,31.8,41.833507,-87.735299
,91.1,1.4,88.5,,,21.7,41.679318,-87.617968
0.0,94.4,,,,,8.6,41.804294,-87.593905
,95.7,,,,,2.2,41.808309,-87.697394
13.5,85.4,12.5,88.5,79.7,67.2,40.7,41.734627,-87.55755
11.2,88.7,,,,,19.1,41.79676,-87.616141
1.2,94.9,,,,,6.0,41.913947,-87.64599
6.3,91.6,0.1,88.5,79.7,67.2,10.1,41.973185,-87.713386
23.2,72.3,10.9,88.5,79.7,67.2,52.8,41.894449,-87.726166
12.5,89.9,0.3,88.5,79.7,67.2,19.4,41.830555,-87.619216
17.4,85.9,1.7,88.5,79.7,67.2,35.0,41.745781,-87.63541
9.7,89.9,2.3,88.5,79.7,67.2,21.6,41.863301,-87.659095
0.1,95.0,,,,,6.2,41.787899,-87.719216
0.5,96.1,,,,,1.1,41.948571,-87.777631
,95.3,,,,,3.3,41.867273,-87.710679
6.3,96.0,,,,,5.7,41.773881,-87.69703
0.2,94.2,,,,,9.4,41.914816,-87.723931
3.6,90.0,4.3,88.5,79.7,67.2,26.7,41.780526,-87.718014
2.5,93.3,,,,,6.0,41.858065,-87.652302
15.1,92.9,,,,,16.4,41.852663,-87.71247
,,,,,,,42.016892,-87.814195
,52.5,29.0,,,67.2,84.4,41.864943,-87.723662
2.1,94.3,,,,,11.1,41.733338,-87.568228
2.0,95.2,,,,,4.0,41.956816,-87.646083
,,,,,,,41.694671,-87.653535
10.1,93.0,,,,,6.9,41.754194,-87.670927
0.4,96.5,,,,,1.6,41.725263,-87.677233
,91.9,5.9,88.5,79.7,67.2,12.7,41.937298,-87.727096
17.8,84.9,2.9,88.5,79.7,67.2,36.7,41.737174,-87.573268
1.7,95.1,,,,,6.4,41.735379,-87.638843
4.2,94.6,,,,,8.6,41.878665,-87.735802
1.5,94.5,,,,,13.8,41.850771,-87.705112
,94.7,0.9,88.5,,,8.7,41.800136,-87.728003
9.4,94.7,,,,,6.1,41.806491,-87.68978
1.5,95.3,,,,,7.7,41.843698,-87.717319
1.0,95.2,,,,,4.4,41.80977,-87.672182
0.0,,,,,,2.6,41.819249,-87.626621
0.3,96.0,,,,,0.6,41.695734,-87.70581
2.3,95.5,,,,,5.1,41.664873,-87.638958
0.0,95.0,,,,,3.9,41.941637,-87.644561
4.7,96.2,,,,,1.3,41.74285,-87.705749
13.8,95.5,,,,,6.1,41.760332,-87.556789
0.8,94.8,,,,,4.7,41.948007,-87.829296
3.5,96.2,,,,,4.5,41.793272,-87.6878
,69.5,43.2,,,67.2,70.5,41.730131,-87.60698
,81.6,40.7,,,67.2,50.6,41.857208,-87.644888
0.8,95.7,,,,,2.5,41.984641,-87.700529
,96.6,,,,,5.2,41.891816,-87.746614
4.1,92.4,0.0,88.5,79.7,67.2,13.8,41.828145,-87.632757
0.1,95.2,,,,,6.2,41.923955,-87.761515
0.7,93.8,,,,,9.2,41.807112,-87.673327
0.9,96.3,,,,,3.3,41.726107,-87.582182
,93.2,1.1,88.5,79.7,67.2,17.8,41.892425,-87.660859
0.5,95.3,,,,,5.1,41.871255,-87.653366
0.0,94.9,,,,,5.9,41.918814,-87.748515
,92.0,,,,,13.4,41.720246,-87.657561
0.4,95.7,,,,,2.5,41.905109,-87.644841
31.7,81.6,12.7,88.5,79.7,67.2,48.8,41.80751,-87.642966
1.0,96.6,,,,,2.0,41.8743,-87.660985
1.4,94.4,,,,,7.6,41.726763,-87.575353
